plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
Plot 3,0.1456,3,0.000696551,44.23611111,1,3,20180112
Plot 4,0.1578,3,-4.52429E-05,43.94388889,1,2,20180112
Plot 5,0.1492,3,9.59487E-07,44.98666667,3,2,20180112
Plot 6,0.1892,1,-8.08009E-05,43.24166667,1,2,20180112
Plot 7,0.2142,0,0.000593474,43.62555556,1,3,20180112
Plot 8,0.1978,1,0.000119978,47.60888889,0,2,20180112
Plot 9,0.1596,3,5.89734E-05,43.93722222,1,2,20180112
Plot 10,0.2696,2,0.005322715,44.64,1,3,20180112
Plot 11,0.2712,2,0.001480129,45.10055556,3,3,20180112
Plot 12,0.2426,0,0.000980999,46.26222222,0,3,20180112
Plot 13,0.197,1,0.000582473,45.18444444,3,3,20180112
Plot 14,0.2006,1,0.000618729,44.23388889,1,3,20180112
Plot 17,0.1604,3,4.58319E-05,43.93611111,1,2,20180112
Plot 18,0.181,1,-0.000150795,45.90333333,3,2,20180112
Plot 19,0.1898,1,-0.000387766,44.40611111,1,2,20180112
Plot 20,0.164,3,-0.001266217,43.89888889,1,2,20180112
Plot 22,0.1978,1,-0.000364589,41.93222222,2,2,20180112
Plot 23,0.164,3,-0.000266259,42.83944444,2,2,20180112
Plot 24,0.1626,3,-3.56614E-05,40.44333333,2,2,20180112
Plot 25,0.2632,2,0.000217371,45.14888889,3,0,20180112
Plot 26,0.2314,0,0.000479536,44.54555556,1,1,20180112
Plot 27,0.2118,0,3.4872E-05,44.66111111,1,2,20180112
Plot 28,0.2056,1,0.000611172,45.33444444,3,3,20180112
Plot 29,0.2202,0,0.001963363,42.845,2,3,20180112
Plot 32,0.1404,3,7.03423E-06,41.29444444,2,2,20180112
Plot 33,0.1392,3,-2.9797E-05,42.84666667,2,2,20180112
Plot 34,0.1662,3,8.13137E-05,43.08111111,2,2,20180112
Plot 35,0.1712,3,-0.000190076,42.82111111,2,2,20180112
Plot 36,0.1792,1,-0.000414734,44.365,1,2,20180112
Plot 37,0.1732,3,-0.000293093,47.04611111,0,2,20180112
Plot 38,0.1564,3,-9.70379E-05,43.61222222,1,2,20180112
Plot 39,0.2752,2,0.000526761,44.20111111,1,3,20180112
Plot 41,0.1972,1,0.000258332,43.86777778,1,0,20180112
Plot 42,0.2192,0,0.000620163,42.24166667,2,3,20180112
Plot 46,0.1632,3,-0.000538161,47.74277778,0,2,20180112
Plot 47,0.172,3,-7.84704E-05,45.99666667,3,2,20180112
Plot 48,0.163,3,-0.000337134,43.83722222,1,2,20180112
Plot 49,0.167,3,0.000448601,42.69666667,2,1,20180112
Plot 50,0.1658,3,-1.83276E-05,46.95666667,0,2,20180112
Plot 51,0.1568,3,9.38076E-05,46.78888889,0,2,20180112
Plot 52,0.1606,3,-0.001411663,45.595,3,2,20180112
Plot 53,0.1768,3,-0.000212804,45.58333333,3,2,20180112
Plot 54,0.1664,3,0.000174119,46.82722222,0,0,20180112
Plot 55,0.1932,1,0.000262466,44.59944444,1,0,20180112
Plot 56,0.1946,1,0.000174083,47.14611111,0,0,20180112
Plot 57,0.3444,2,0.001088237,45.46222222,3,3,20180112
,,,,,,,
,,,,,,,
,,,,,,,
