plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,ngrdi_id,date
2,0.2224,3,0.000427205,48.45333333,0,3,20180119
3,0.2252,3,0.000367453,44.84666667,1,3,20180119
4,0.2692,3,-0.000674319,44.78666667,1,2,20180119
6,0.5118,1,0.001990007,45.66,3,3,20180119
8,0.3214,2,0.000376495,45.82666667,3,3,20180119
9,0.2628,3,0.000158495,44.91333333,1,2,20180119
10,0.4148,0,0.015707311,46.93333333,3,1,20180119
11,0.5098,1,0.006617341,44.75333333,1,0,20180119
12,0.5476,1,0.00899352,46.48,3,1,20180119
13,0.3916,0,0.001993026,44.9,1,3,20180119
14,0.2928,2,0.0030255,44.70666667,1,0,20180119
17,0.2566,3,-0.000122749,50.71333333,0,2,20180119
18,0.349,2,0.000303747,47.26666667,3,3,20180119
19,0.3526,2,0.001170687,48.58,0,3,20180119
20,0.2854,3,-0.000665798,46.38666667,3,2,20180119
22,0.3006,2,0.000721679,44.2,1,3,20180119
23,0.3062,2,-0.001082682,47.16,3,2,20180119
24,0.2796,3,-0.000963319,48.36666667,0,2,20180119
25,0.4088,0,0.001124704,45.74,3,3,20180119
26,0.507,1,-0.000419372,46,3,2,20180119
27,0.4522,2,-0.000421224,47.76666667,0,2,20180119
28,0.3522,0,-0.002436314,45.62666667,3,2,20180119
29,0.4424,0,0.003166039,43.93333333,1,0,20180119
35,0.3158,2,-0.000804493,43.24666667,2,2,20180119
36,0.3616,2,0.000817063,46.22666667,3,3,20180119
37,0.3474,2,-0.000194766,45.67333333,3,2,20180119
38,0.2904,3,-0.000714326,42.96,2,2,20180119
39,0.3426,2,0.004903808,44.35333333,1,0,20180119
41,0.5202,1,-0.00013579,40.81333333,2,2,20180119
42,0.3052,2,0.003574208,46.54666667,3,0,20180119
43,0.3258,2,0.000823709,43.96,1,3,20180119
46,0.2548,3,-9.67E-05,46.16,3,2,20180119
48,0.2638,3,0.000154859,50.46666667,0,2,20180119
49,0.2456,3,-1.08E-05,48.06666667,0,2,20180119
50,0.2296,3,-0.000147258,47.72666667,0,2,20180119
51,0.2268,3,-0.000689486,48.97333333,0,2,20180119
52,0.2684,3,-0.001358388,48.50666667,0,2,20180119
53,0.2942,2,0.000539117,44.07333333,1,3,20180119
54,0.2598,3,0.000539117,47.11333333,3,3,20180119
55,0.3838,0,-0.001167163,47.11333333,3,2,20180119
56,0.349,2,0.001357296,46.89333333,3,3,20180119
57,0.4096,0,0.010727303,42.32,2,1,20180119
