plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
2,0.6008,1,0.036112355,51.12666667,1,3,20180228
3,0.58025,0,0.040520812,46.96,3,3,20180228
4,0.6072,1,0.043393245,51.36,1,3,20180228
5,0.5556,0,0.04273093,54.07333333,2,3,20180228
6,0.6384,3,0.072404301,53.65266667,2,0,20180228
7,0.6464,3,0.083119633,58.2,0,2,20180228
8,0.7016,3,0.103195179,54.49333333,2,2,20180228
9,0.6478,3,0.071686839,54.1,2,0,20180228
10,0.6466,3,0.092213175,54.48666667,2,2,20180228
11,0.652,3,0.092917204,56.72,2,2,20180228
12,0.5912,1,0.043411486,53.62,2,3,20180228
13,0.6058,1,0.035322118,50.58666667,1,3,20180228
14,0.6366,3,0.03624323,50.58,1,3,20180228
17,0.5696,0,0.028959215,56.42666667,2,1,20180228
18,0.645,3,0.05675338,56.32,2,0,20180228
19,0.6702,3,0.058320782,55.54,2,0,20180228
20,0.6158,1,0.02634802,52.51333333,1,1,20180228
22,0.7198,3,0.058208783,51.29333333,1,0,20180228
23,0.5946,1,0.042044931,53.73333333,2,3,20180228
24,0.5444,0,0.014587849,49.74,1,1,20180228
25,0.5858,1,0.019272485,51.50666667,1,1,20180228
26,0.6568,3,0.046819192,55.12666667,2,3,20180228
27,0.6086,1,0.023685429,54.11333333,2,1,20180228
28,0.6132,1,0.024299397,48.78,3,1,20180228
29,0.5452,0,0.017957236,48.36,3,1,20180228
32,0.4778,2,0.026075066,54.78,2,1,20180228
33,0.5786,0,0.032522318,55.98,2,3,20180228
34,0.6408,3,0.066673479,56.36666667,2,0,20180228
35,0.6244,1,0.06241752,53.16,2,0,20180228
36,0.5532,0,0.033477411,55.11333333,2,3,20180228
37,0.6674,3,0.045092361,50.63333333,1,3,20180228
38,0.4014,2,0.007211413,46.36666667,3,1,20180228
39,0.6456,3,0.051850625,54.20666667,2,0,20180228
41,0.5488,0,0.025775254,50.16666667,1,1,20180228
42,0.6946,3,0.037292567,49.45333333,1,3,20180228
43,0.683,3,0.038241257,52.08666667,1,3,20180228
46,0.5784,0,0.035174416,52.54666667,1,3,20180228
47,0.5676,0,0.029030211,49.17333333,1,1,20180228
48,0.588,1,0.026256247,52.68666667,1,1,20180228
49,0.582,0,0.027127472,50.22666667,1,1,20180228
50,0.5186,0,0.021529912,53.48,2,1,20180228
51,0.4824,2,0.016147794,51.38666667,1,1,20180228
52,0.559,0,0.038602413,49.56,1,3,20180228
53,0.5806,0,0.024173936,50.33333333,1,1,20180228
54,0.5552,0,0.027196265,51.52,1,1,20180228
55,0.6096,1,0.040492719,50.18666667,1,3,20180228
56,0.5704,0,0.015962321,50.10666667,1,1,20180228
57,0.6092,1,0.036003823,45.68666667,3,3,20180228
