plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
2,0.6002,1,0.055678032,50.73333333,3,0,20180306
3,0.5714,2,0.041620894,46.1,1,2,20180306
4,0.5124,2,0.0326946,47.37333333,2,2,20180306
5,0.5264,2,0.020712322,54.50666667,0,1,20180306
6,0.6352,1,0.041189584,51.24666667,3,2,20180306
7,0.6272,1,0.052023267,49.76666667,3,0,20180306
8,0.6026,1,0.049277536,53.89333333,0,0,20180306
9,0.6794,1,0.060089032,53.58666667,0,0,20180306
10,0.6002,1,0.037405278,53.27333333,0,2,20180306
11,0.5458,2,0.031586894,54.49333333,0,2,20180306
12,0.4806,3,0.007343891,51.27333333,3,3,20180306
13,0.467,3,0.005506971,48.88,2,3,20180306
14,0.4832,3,0.007656145,50.13333333,3,3,20180306
17,0.5138,2,0.028527521,53.59333333,0,2,20180306
18,0.5352,2,0.059546923,53.42,0,0,20180306
19,0.5648,2,0.023023183,50.84666667,3,1,20180306
20,0.504,3,0.022196237,54.31333333,0,1,20180306
22,0.6108,1,0.061856104,48.13333333,2,0,20180306
23,0.463,3,0.025082039,50.8,3,1,20180306
24,0.5326,2,0.022168044,48.32666667,2,1,20180306
25,0.4916,3,0.009227715,44.54666667,1,3,20180306
26,0.5394,2,0.03199922,50.89333333,3,2,20180306
27,0.5954,1,0.03144192,49.3,2,2,20180306
28,0.5202,2,0.021630641,48.16,2,1,20180306
29,0.382,0,0.001695633,46.22666667,2,3,20180306
32,0.5304,2,0.041748788,50.77333333,3,2,20180306
33,0.4938,3,0.030429318,53.28,0,2,20180306
34,0.5446,2,0.030429318,52.93333333,0,2,20180306
35,0.5136,2,0.040697875,51.18,3,2,20180306
36,0.4238,0,0.021480703,51.29333333,3,1,20180306
37,0.5418,2,0.031142527,49.05333333,2,2,20180306
38,0.266,0,0.000301904,37.44666667,1,3,20180306
39,0.465,3,0.031983737,55.80666667,0,2,20180306
41,0.418,0,0.003465977,48.01333333,2,3,20180306
42,0.5622,2,0.007763527,50.64,3,3,20180306
43,0.498,3,0.013502361,49.56666667,3,3,20180306
46,0.5166,2,0.029281332,49.52,3,2,20180306
47,0.536,2,0.019138476,48.43333333,2,1,20180306
48,0.5088,2,0.032200374,48.43333333,2,2,20180306
49,0.6412,1,0.036605551,48.90666667,2,2,20180306
50,0.4298,0,0.033593523,48.82666667,2,2,20180306
51,0.4652,3,0.026191754,44.46666667,1,1,20180306
52,0.49,3,0.036889481,48.07333333,2,2,20180306
53,0.5214,2,0.038683172,45.94666667,1,2,20180306
54,0.483,3,0.045447346,47.12666667,2,0,20180306
55,0.479,3,0.046074887,44.86,1,0,20180306
56,0.418,0,0.000418792,46.9,2,3,20180306
57,0.4656,3,0.008882526,43.49333333,1,3,20180306
